Chemical Name	CAS #	Formula	Synonyms	Get Report
DIPROPYLENE GLYCOL METHYL ETHER	34590-94-8	C7H16O3	Dipropylene glycol monomethyl ether; Dowanol50B	Get Report 
CARBONYL FLUORIDE	353-50-4	CF2O	Carbon difluoride oxide; Carbon fluoride oxide; Carbon oxyfluoride; Carbonyl difluoride; Fluoroformyl fluoride; Fluorophosgene	Get Report 
SULPROFOS	35400-43-2	C12H19O2PS3	Bolstar; O-Ethyl O-(4-methylthio)phenyl S-propylphosphorodithioate	Get Report 
TETRAETHYL DITHIOPYROPHOSPHATE	3689-24-5	C8H20O5P2S2	Bladafum; Dithion; Sulfotep; Tetraethyl dithionopyrophosphate; Tetraethyl dithiopyrophosphate; Thiotepp	Get Report 
PERFLUOROISOBUTYLENE	382-21-8	C4F8		Get Report 
AMMONIUM PERFLUOROOCTANONE	3825-26-1	C8HF15O2.H3N		Get Report 
"ZINC BERYLLIUM SILICATE, as Be"	39413-47-3	Be	Beryllium metal: Beryllium Other synonyms vary depending upon the specific beryllium compound.	Get Report 
ISOPROPYL GLYCIDYL ETHER	4016-14-2	C6H12O2	"1,2-Epoxy-3-isopropoxypropane; IGE; Isopropoxymethyl oxirane"	Get Report 
FLUROXENE	406-90-6	CF3CH2OCH=CH2	"2,2,2-Trifluoroethoxyethene; 2,2,2-Trifluoroethyl vinyl ether"	Get Report 
SILICON CARBIDE	409-21-2	SiC	Carbon silicide; Carborundum; Silicon monocarbide	Get Report 
ISOPHORONE DIISOCYANATE	4098-71-9	C12H18N2O2	"IPDI; 3-Isocyanatomethyl-3,5,5-trimethylcyclohexyl-isocyanate; Isophorone diamine diisocyanate"	Get Report 
CROTONALDEHYDE	4170-30-3	C4H6O	"2-Butenal; Crotonaldehyde, inhibited; beta-Methyl acrolein; Propylene aldehyde"	Get Report 
CYANAMIDE	420-04-2	NH2CN	Amidocyanogen; Carbimide; Carbodiimide; Cyanogen nitride; Hydrogen cyanamide [Note: Cyanamide is also a synonym for Calcium cyanamide.] [NIOSH]	Get Report 
CYANOGEN	460-19-5	C2N2	Carbon nitride; Dicyan; Dicyanogen; Ethanedinitrile; Oxalonitrile	Get Report 
KETENE	463-51-4	CH2CO	Carbomethene; Ethenone; Keto-ethylene	Get Report 
"2,2-DIMETHYLPROPANE"	463-82-1	C5H12		Get Report 
PARAQUAT	4685-14-7	CH3(C5H4N)2CH3 . 2Cl	"1,1'-Dimethyl-4,4'-bipyridinium dichloride; N,N'-Dimethyl-4,4'-bipyridinium dichloride; Paraquat chloride; Paraquat dichloride"	Get Report 
TETRYL	479-45-8	C7H5N5O8	"N-Methyl-N,2,4,6-tetranitroaniline; Nitramine; 2,4,6-Tetryl; 2,4,6-Trinitrophenyl-N-methylnitramine"	Get Report 
FORMALIN (as FORMALDEHYDE)	50-00-0	CH2O	Methanal; Methyl aldehyde; Methylene oxide	Get Report 
FORMALDEHYDE	50-00-0	CH2O	Methanal; Methyl aldehyde;Methylene oxide	Get Report 
DDT	50-29-3	C14H9Cl5	"p,p'-DDT; Dichlorodiphenyltrichloroethane; 1,1,1-Trichloro-2,2-bis(p-chlorophenyl)ethane"	Get Report 
BENZO[A]PYRENE	50-32-8	C20H12	"Synonyms vary depending upon the specific compound (e.g., pyrene; phenanthrene; acridine; chrysene; anthracene & benzo(a)pyrene)."	Get Report 
ACETYLSALICYLIC ACID	50-78-2	C9H8O4	Acetal; o-Acetoxybenzoic acid; 2-Acetoxybenzoic acid; Aspirin	Get Report 
2-AMINOPYRIDINE	504-29-0	C5H6N2	à-Aminopyridine; à-Pyridylamine	Get Report 
2-2-DICHLORODIETHYL-SULFIDE (MUSTARD GAS)	505-60-2	C4H8Cl2S		Get Report 
CYANOGEN CHLORIDE	506-77-4	CClN	Chlorcyan; Chlorine cyanide; Chlorocyanide; Chlorocyanogen; Cyanogen chloride inhibited	Get Report 
TETRANITROMETHANE	509-14-8	CN4O8	Tetan; TNM	Get Report 
"1,1-METHYLENE BIS(4-CYCLOHEXYLISOCYANATE)"	5124-30-1	C15H22N2O2	"Dicyclohexylmethane 4,4'-diisocyanate; DMDI; bis(4-Isocyanatocyclohexyl)methane; HMDI; Hydrogenated MDI; Reduced MDI; Saturated MDI"	Get Report 
TRICHLORPHON	52-68-6	C4H8Cl3O4P		Get Report 
O-DINITROBENZENE	528-29-0	C6H4N2O4	"ortho-Dinitrobenzene; 1,2-Dinitrobenzene"	Get Report 
2-ACETYLAMINOFLUORENE	53-96-3	C15H13NO	AAF; 2-AAF; 2-Acetaminofluorene; N-Acetyl-2-aminofluorene; FAA; 2-FAA; 2-Fluorenylacetamide	Get Report 
CHLOROACETOPHENONE	532-27-4	C8H7ClO	2-Chloroacetophenone; Chloromethyl phenyl ketone; Mace; Phenacyl chloride; Phenyl chloromethyl ketone; Tear gas	Get Report 
1-UNDECANETHIOL	5332-52-5	CH3(CH2)10SH	Undecyl mercaptan	Get Report 
"4,6-DINITRO-O-CRESOL"	534-52-1	C7H6N2O5	"4,6-Dinitro-o-cresol; 3,5-Dinitro-2-hydroxytoluene; 4,6-Dinitro-2-methyl phenol; DNC; DNOC"	Get Report 
CHLORODIPHENYL (42% CHLORINE)	53469-21-9	C6H4ClC6H3Cl2 (approx)	Aroclor1242; PCB; Polychlorinated biphenyl	Get Report 
NICOTINE	54-11-5	C10H14N2	3-(1-Methyl-2-pyrrolidyl)pyridine	Get Report 
SODIUM ETHYMERCURITHIOSALICYLATE	54-64-8	C9H9HgO2S.Na		Get Report 
"1,2-DICHLOROETHYLENE, ALL ISOMERS"	540-59-0	C2H2Cl2	Acetylene dichloride; cis-Acetylene dichloride; trans-Acetylene dichloride; sym-Dichloroethylene	Get Report 
TERT-BUTYL ACETATE	540-88-5	C6H12O2	tert-Butyl ester of acetic acid	Get Report 
ETHYLAMYL KETONE	541-85-5	C2H5COCH2CH(CH3)CH2CH3	Amyl ethyl ketone; Ethyl amyl ketone; 3-Methyl-5-heptanone	Get Report 
ISOBUTYL NITRITE	542-56-3	C4H9NO2		Get Report 
"1,3-DICHLOROPROPENE"	542-75-6	C3H4Cl2	"3-Chloroallyl chloride; DCP; 1,3-Dichloro-1-propene; 1,3-Dichloropropylene; Telone"	Get Report 
"DICHLORODIMETHYL ETHER, SYMMETRICAL"	542-88-1	C2H4Cl2O	BCME; bis-CME; Chloromethyl ether; Dichlorodimethyl ether; Dichloromethyl ether; Oxybis(chloromethane)	Get Report 
CYCLOPENTADIENE	542-92-7	C5H6	"1,3-Cyclopentadiene"	Get Report 
MAGNESITE	546-93-0	MgCO3	Carbonate magnesium; Hydromagnesite; Magnesium carbonate; Magnesium(II) carbonate	Get Report 
FENTHION	55-38-9	C10H15O3PS2	"Baytex; Entex; O,O-Dimethyl O-3-methyl-4-methylthiophenyl phosphorothioate"	Get Report 
NITROGLYCERIN	55-63-0	C3H5N3O9	"Glyceryl trinitrate; NG; 1,2,3-Propanetriol trinitrate; Trinitroglycerine"	Get Report 
TRIMELLITIC ANHYDRIDE	552-30-7	C9H4O5	"1,2,4-Benzenetricarboxylic anhydride; 4-Carboxyphthalic anhydride; TMA; TMAN; Trimellic acid anhydride"	Get Report 
GLYCIDOL	556-52-5	C3H6O2	"2,3-Epoxy-1-propanol; Epoxypropyl alcohol; Glycide; Hydroxymethyl ethylene oxide; 2-Hydroxymethyl oxiran; 3-Hydroxypropylene oxide"	Get Report 
ZINC STEARATE	557-05-1	C18H35O2.1/2Zn	Dibasic zinc stearate; Zinc salt of stearic acid; Zinc distearate	Get Report 
CARBON TETRABROMIDE	558-13-4	CBr4	Carbon bromide; Methane tetrabromide; Tetrabromomethane	Get Report 
CARBON TETRACHLORIDE	56-23-5	CCl4	Carbon chloride; Carbon tet; Freon10; Halon104; Tetrachloromethane	Get Report 
PARATHION	56-38-2	C10H14NO5PS	"O,O-Diethyl-O(p-nitrophenyl) phosphorothioate; Diethyl parathion; Ethyl parathion; Parathion-ethyl"	Get Report 
BENZ[A]ANTHRACENE	56-55-3	C18H12		Get Report 
CHLORAMPHENICOL	56-75-7	C11H12Cl2N2O5	Anacetin; Chlorocid; Chloromycetin	Get Report 
GLYCERINE MIST	56-81-5	C3H8O3	"Glycerin (anhydrous); Glycerol; Glycyl alcohol; 1,2,3-Propanetriol; Trihydroxypropane"	Get Report 
ETHION	563-12-2	C9H22O4P2S4	"O,O,O',O'-Tetraethyl S,S'-methylene di(phosphorodithioate)"	Get Report 
3-METHYLBUTAN-2-ONE	563-80-4	C5H10O	2-Acetyl propane; Isopropyl methyl ketone; 3-Methyl-2-butanone; 3-Methyl butan-2-one; MIPK	Get Report 
"1,1-DIMETHYLHYDRAZINE"	57-14-7	C2H8N2	Dimazine; DMH; UDMH; Unsymmetrical dimethylhydrazine	Get Report 
STRYCHNINE	57-24-9	C21H22N2O2	Nux vomica; Strynchnos	Get Report 
SUCROSE	57-50-1	C12H22O11	Beet sugar; Cane sugar; Confectioner's sugar; Granulated sugar; Rock candy; Saccarose; Sugar; Table sugar	Get Report 
BETA-PROPIOLACTONE	57-57-8	C3H4O2	"BPL; Hydroacrylic acid, beta-lactone; 3-Hydroxy-beta-lactone; 3-Hydroxy-propionic acid; beta-Lactone; 2-Oxetanone; 3-Propiolacetone"	Get Report 
CHLORDANE	57-74-9	C10H6Cl8	"Chlordan; Chlordano; 1,2,4,5,6,7,8,8-Octachloro-3a,4,7,7a-tetrahydro-4,7-methanoindane"	Get Report 
SULFUR PENTAFLUORIDE	5714-22-7	S2F10	Disulfur decafluoride; Sulfur decafluoride	Get Report 
LINDANE	58-89-9	C6H6Cl6	"BHC; HCH; gamma-Hexachlorocyclohexane; gamma isomer of 1,2,3,4,5,6-Hexachlorocyclohexane"	Get Report 
2-NITRONAPHTHALENE	581-89-5	C10H7NO2	beta-Nitronaphthalene	Get Report 
O-METHYLCYCLOHEXANONE	583-60-8	CH3C6H9O	2-Methylcyclohexanone	Get Report 
"TOLUENE-2,4-DIISOCYANATE"	584-84-9	C9H6N2O2	"TDI; 2,4-TDI; 2,4-Toluene diisocyanate"	Get Report 
METHYL BUTYL KETONE	591-78-6	C6H12O	Butyl methyl ketone; MBK; Methyl butyl ketone; Methyl n-butyl ketone	Get Report 
CALCIUM CYANIDE	592-01-8	C2CaN2		Get Report 
1-HEXENE	592-41-6	C6H12		Get Report 
VINYL BROMIDE	593-60-2	C2H3Br	Bromoethene; Bromoethylene; Monobromoethylene; Vinyl bromide; inhibited	Get Report 
METHYL ACETYLENE-PROPADIENE MIXTURE (MAPP)	59355-75-8	C3H4	MAPP gas; Methyl acetylene-allene mixture; Methyl acetylene-propadiene mixture (stabilized); Propadiene-methyl acetylene; Propyne-allene mixture; Propyne-propadiene mixture	Get Report 
PERCHLOROMETHYL MERCAPTAN	594-42-3	CCl4S	PCM; PMM; Trichloromethane sulfenyl chloride; Trichloromethyl sulfur chloride	Get Report 
"1,1-DICHLORO-1-NITROETHANE"	594-72-9	C2H3Cl2NO2	Dichloronitroethane	Get Report 
2-CHLOROPROPIONIC ACID	598-78-7	C3H5ClO2		Get Report 
4-DIMETHYLAMINOAZOBENZENE	60-11-7	C14H15N3	"Butter yellow; DAB; p-Dimethylaminoazobenzene; N,N-Dimethyl-4-aminoazobenzene; Methyl yellow"	Get Report 
DIETHYL ETHER	60-29-7	C4H10O	Diethyl ether; Diethyl oxide; Ethyl oxide; Ether; Solvent ether	Get Report 
METHYLHYDRAZINE	60-34-4	CH6N2	MMH; Monomethylhydrazine	Get Report 
DIELDRIN	60-57-1	C12H8Cl6O	"HEOD; 1,2,3,4,10,10-Hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-1,4-endo,exo-5,8-dimethanonaphthalene"	Get Report 
1-CHLORO-1-NITROPROPANE	600-25-9	C3H6ClNO2	Korax; Lanstan	Get Report 
TRIPHENYLAMINE	603-34-9	C18H15N	"N,N-Diphenylaniline; N,N-Diphenylbenzenamine"	Get Report 
"2,6 DINITROTOLUENE"	606-20-2	C7H6N2O4	Dinitrotoluol; DNT; Methyldinitrobenzene	Get Report 
"SILICA, FUSED"	60676-86-0	O2Si		Get Report 
AMITROLE	61-82-5	C2H4N4	"Aminotriazole; 3-Aminotriazole; 2-Amino-1,3,4-triazole; 3-Amino-1,2,4-triazole"	Get Report 
"2,4-DIAMINOANISOLE AND ITS SALTS"	615-05-4	C7H10N20	"1,3-Diamino-4-methoxybenzene; 4-Methoxy-1,3-benzene-diamine; 4-Methoxy-m-phenylene-diamine Synonyms of salts vary depending upon the specific compound."	Get Report 
HYDROGENATED TERPHENYLS	61788-32-7	(C6Hn)3	Hydrogenated diphenylbenzenes; Hydrogenated phenylbiphenyls; Hydrogenated triphenyls	Get Report 
DIATOMACEOUS EARTH	61790-53-2	SiO2	Diatomaceous earth; Diatomaceous silica; Diatomite; Precipitated amorphous silica; Silica gel; Silicon dioxide (amorphous)	Get Report 
"3,5 DINITROTOLUENE"	618-85-9	CH3C6H3(NO2)2	Dinitrotoluol; DNT;Methyldinitrobenzene	Get Report 
ANILINE	62-53-3	C6H7N	Aminobenzene; Aniline oil; Benzenamine; Phenylamine	Get Report 
THIOUREA	62-56-6	CH4N2S		Get Report 
DICHLORVOS	62-73-7	C4H7Cl2O4P	"DDVP; 2,2-Dichlorovinyl dimethyl phosphate"	Get Report 
SODIUM FLUOROACETATE	62-74-8	C2H3FO2.Na	SFA; Sodium monofluoroacetate	Get Report 
N-NITROSODIMETHYLAMINE	62-75-9	C2H6N2O	"Dimethylnitrosamine; N,N-Dimethylnitrosamine; DMNA; N-Methyl-N-nitroso-methanamine; NDMA; N-Nitroso-N,N-dimethylamine, Nitrosodimethylamine"	Get Report 
3-PENTYLACETATE	620-11-1			Get Report 
2-METHYLBUTYL ACETATE	624-41-9	C7H14O2		Get Report 
METHYL ISOCYANATE	624-83-9	C2H3NO	Methyl ester of isocyanic acid; MIC	Get Report 
"1,1-DIMETHYLPROPYLACETATE"	625-16-1	C7H14O2	tert-Amyl acetate; Pentylacetate	Get Report 
M-PHTHALODINITRILE	626-17-5	C6H4(CN)2	"1,3-Benzenedicarbonitrile; m-Dicyanobenzene; 1,3-Dicyanobenzene; Isophthalodinitrile; m-PDN"	Get Report 
SEC-AMYL ACETATE	626-38-0	C7H14O2	1-Methylbutyl acetate; 2-Pentanol acetate; 2-Pentyl ester of acetic acid	Get Report 
N-PROPYL NITRATE	627-13-4	C3H7NO3	Propyl ester of nitric acid	Get Report 
N-AMYL ACETATE	628-63-7	C7H14O2	Amyl acetic ester; Amyl acetic ether; 1-Pentanol acetate; Pentyl ester of acetic acid; Primary amyl acetate	Get Report 
ETHYLENE GLYCOL DINITRATE	628-96-6	O2NOCH2CH2ONO2	"EGDN; 1,2-Ethanediol dinitrate; Ethylene dinitrate; Ethylene nitrate; Glycol dinitrate; Nitroglycol"	Get Report 
CARBARYL	63-25-2	C12H11NO2	alpha-Naphthyl N-methyl-carbamate; 1-Naphthyl N-Methyl-carbamate; Sevin	Get Report 
CARBON MONOXIDE	630-08-0	CO	"Carbon oxide; Flue gas, Monoxide"	Get Report 
"1,1,1,2-TETRACHLOROETHANE"	630-20-6	C2H2Cl4		Get Report 
ETHYL-T-BUTYL ETHER	637-92-3	C6H14O	ETBE	Get Report 
PHENYL PHOSPHINE	638-21-1	C6H7P	Fenylfosfin; PF; Phosphaniline	Get Report 
ETHANOL	64-17-5	C2H6O	Alcohol; Cologne spirit; Ethanol; EtOH; Grain alcohol	Get Report 
FORMIC ACID	64-18-6	CH2O2	Formic acid (85-95% in aqueous solution); Hydrogen carboxylic acid; Methanoic acid	Get Report 
ACETIC ACID	64-19-7	C2H4O2	Acetic acid (aqueous); Ethanoic acid; Glacial acetic acid (pure compound); Methanecarboxylic acid	Get Report 
PROPYLENE GLYCOL DINITRATE	6423-43-4	CH3CNO2OHCHNO2OH	"PGDN; Propylene glycol-1,2-dinitrate; 1,2-Propylene glycol dinitrate"	Get Report 
"1,3-DIOXOLANE"	646-06-0	C3H6O2		Get Report 
COAL TAR PITCH VOLATILES	65996-93-2	Mixture	"Synonyms vary depending upon the specific compound (e.g., pyrene; phenanthrene; acridine; chrysene; anthracene & benzo(a)pyrene)."	Get Report 
PORTLAND CEMENT	65997-15-1	Mixture	Cement; Hydraulic cement; Portland cement silicate	Get Report 
METHANOL	67-56-1	CH4O	Carbinol; Columbian spirits; Methanol; Pyroligneous spirit; Wood alcohol; Wood naphtha; Wood spirit	Get Report 
ISOPROPANOL	67-63-0	C3H8O	Dimethyl carbinol; IPA; Isopropanol; 2-Propanol; sec-Propyl alcohol; Rubbing alcohol; isopropyl alcohol	Get Report 
ACETONE	67-64-1	C3H6O	Dimethyl ketone; Ketone propane; 2-Propanone	Get Report 
CHLOROFORM	67-66-3	CHCl3	Methane trichloride; Trichloromethane	Get Report 
HEXACHLOROETHANE	67-72-1	C2Cl6	Carbon hexachloride; Ethane hexachloride; Perchloroethane	Get Report 
THIOGLYCOLIC ACID	68-11-1	C2H4O2S	Acetyl mercaptan; Mercaptoacetate; Mercaptoacetic acid; 2-Mercaptoacetic acid; 2-Thioglycolic acid; Thiovanic acid	Get Report 
DIMETHYLFORMAMIDE	68-12-2	C3H7NO	"Dimethyl formamide; N,N-Dimethylformamide; DMF"	Get Report 
HEXAMETHYLPHOSPHORAMIDE	680-31-9	C6H18N3OP	Hexamethylphosphoric triamide; Hexamethylphosphorotriamide; HMPA; Tris(dimethylamino)phosphine oxide	Get Report 
METHYL (ORTHO)SILICATE	681-84-5	C4H12O4Si	Methyl orthosilicate; Tetramethoxysilane; Tetramethyl ester of silicic acid; Tetramethyl silicate	Get Report 
HEXAFLUOROACETONE	684-16-2	C3F6O	"Hexafluoro-2-propanone; 1,1,1,3,3,3-Hexafluoro-2-propanone; HFA; Perfluoroacetone"	Get Report 
L.P.G. (LIQUIFIED PETROLEUM GAS)	68476-85-7	C3H8/C3H6/C4H10/C4H8	Bottled gas; Compressed petroleum gas; Liquefied hydrocarbon gas; LPG	Get Report 
VEGETABLE OIL MISTS	68956-68-3	Mixutre	Vegetable mist	Get Report 
SILICA FUME	69012-64-2	No formula	Silica-Amorphous Fume [released during manufacture of elemental silican and silicon alloys-ACGIH]	Get Report 
MONOCROTOPHOS	6923-22-4	C7H14NO5P	3-Hydroxy-N-methylcrotonamide dimethylphosphate; Monocron	Get Report 
ETHYL CYANOACRYLATE	7085-85-0	C6H7NO2	Ethyl 2-cyanoacrylate	Get Report 
N-PROPANOL	71-23-8	C3H8O	Ethyl carbinol; 1-Propanol; n-Propanol; Propyl alcohol	Get Report 
BUTANOL	71-36-3	C4H10O	1-Butanol; n-Butanol; Butyl alcohol; 1-Hydroxybutane; n-Propyl carbinol	Get Report 
BENZENE	71-43-2	C6H6	Benzol; Phenyl hydride	Get Report 
"1,1,1-TRICHLOROETHANE"	71-55-6	C2H3Cl3	"Chlorothene; 1,1,1-Trichloroethane; 1,1,1-Trichloroethane (stabilized)"	Get Report 
ENDRIN	72-20-8	C12H8Cl6O	"1,2,3,4,10,10-Hexachloro-6,7-epoxy-1,4,4a,5,6,7,8,8a-octahydro-1,4-endo,endo-5,8-dimethanonaphthalene; Hexadrin"	Get Report 
METHOXYCHLOR	72-43-5	C16H15Cl3O2	"p,p'-Dimethoxydiphenylftrichloroethane; DMDT; Methoxy-DDT; 2,2-bis(p-Methoxyphenyl)-1,1,1-trichloroethane; 1,1,1-Trichloro-2,2-bis-(p-methoxyphenyl)ethane"	Get Report 
METHANE	74-82-8	CH4		Get Report 
METHYL BROMIDE	74-83-9	CH3Br	Bromomethane; Monobromomethane	Get Report 
ETHANE	74-84-0	C2H6		Get Report 
ETHYLENE	74-85-1	C2H4		Get Report 
ACETYLENE	74-86-2	C2H2	Ethine; Ethyne	Get Report 
METHYL CHLORIDE	74-87-3	CH3Cl	Chloromethane; Monochloromethane	Get Report 
METHYL IODIDE	74-88-4	CH3I	Iodomethane; Monoiodomethane	Get Report 
METHYLAMINE	74-89-5	CH5N	Aminomethane; Methylamine (anhydrous); Methylamine (aqueous); Monomethylamine	Get Report 
HYDROGEN CYANIDE	74-90-8	CHN	Formonitrile; Hydrocyanic acid; Prussic acid	Get Report 
METHYL MERCAPTAN	74-93-1	CH4S	Mercaptomethane; Methanethiol; Methyl sulfhydrate	Get Report 
ETHYL BROMIDE	74-96-4	C2H5Br	Bromoethane; Monobromoethane	Get Report 
BROMOCHLOROMETHANE	74-97-5	CH2BrCl	"Bromochloromethane; CB; CBM, Fluorocarbon 1011; Halon1011; Methyl chlorobromide"	Get Report 
PROPANE	74-98-6	C3H8	Bottled gas; Dimethyl methane; n-Propane; Propyl hydride	Get Report 
1-PROPYNE	74-99-7	C3H4	Allylene; Propine; Propyne; 1-Propyne	Get Report 
SULFOMETURON-METHYL	74222-97-2	C15H16N4O5S		Get Report 
"ALUMINUM, PYROPHORIC POWDERS AND WELDING FUME, as Al"	7429-90-5	Al	Aluminium; Aluminum metal; Aluminum powder; Elemental aluminum	Get Report 
"ALUMINUM, as Al"	7429-90-5	Al	Aluminium; Aluminum metal; Aluminum powder; Elemental aluminum	Get Report 
"ALUMINUM, SOLUBLE SALTS AND ALKYLS, NOT OTHERWISE CLASSIFIED, as Al"	7429-90-5	Al	Aluminium; Aluminum metal; Aluminum powder; Elemental aluminum	Get Report 
"IRON SALTS, SOLUBLE, as Fe"	7439-89-6	Fe	FeSO4: Ferrous sulfate; Iron(II) sulfate FeCl2: Ferrous chloride; Iron(II) chloride Fe(NO3)3: Ferric nitrate; Iron(III) nitrate Fe(SO4)3: Ferric sulfate; Iron(III) sulfate FeCl3: Ferric chloride; Iron(III) chloride	Get Report 
"LEAD (INORGANIC, DUSTS & FUMES), as Pb"	7439-92-1	Pb	Lead metal; Plumbum	Get Report 
"MANGANESE (COMPOUNDS AND DUST), as Mn"	7439-96-5	Mn	Manganese metal: Colloidal manganese; Manganese-55 Synonyms of other compounds vary depending upon the specific manganese compound.	Get Report 
"MANGANESE (FUME), as Mn"	7439-96-5	Mn	Manganese metal: Colloidal manganese; Manganese-55 Synonyms of other compounds vary depending upon the specific manganese compound.	Get Report 
"MERCURY (ALKYL COMPOUNDS), as Hg"	7439-97-6	Hg	Synonyms vary depending upon the specific (organo) alkyl mercury compound.	Get Report 
"MERCURY, ELEMENTAL AND INORGANIC COMPOUNDS, as Hg"	7439-97-6	Hg	"Mercury metal: Colloidal mercury; Metallic mercury; Quicksilver Synonyms of ""other"" Hg compounds vary depending upon the specific compound."	Get Report 
"MERCURY (ARYL COMPOUNDS), as Hg"	7439-97-6	Hg	"Mercury metal: Colloidal mercury; Metallic mercury; Quicksilver Synonyms of ""other"" Hg compounds vary depending upon the specific compound."	Get Report 
"MOLYBDENUM, SOLUBLE COMPOUNDS, as Mo"	7439-98-7	Mo	Molybdenum metal	Get Report 
"MOLYBDENUM, METAL AND INSOLUBLE COMPOUNDS, as Mo"	7439-98-7	Mo	Molybdenum metal	Get Report 
NEON	1/9/7440	Ne		Get Report 
NICKEL METAL	7440-02-0	Ni	Nickel metal: Elemental nickel; Nickel catalyst	Get Report 
"NICKEL, INSOLUBLE COMPOUNDS, as Ni"	7440-02-0	Ni	Synonyms of other nickel compounds vary depending upon the specific compound.	Get Report 
"NICKEL, SOLUBLE COMPOUNDS as Ni"	7440-02-0	Ni	Synonyms of other nickel compounds vary depending upon the specific compound.	Get Report 
PLATINUM METAL	6/4/7440	Pt	Platinum black; Platinum metal; Platinum sponge	Get Report 
"PLATINUM SOLUBLE SALTS, as Pt"	6/4/7440	Pt	Synonyms vary depending upon the specific soluble platinum salt.	Get Report 
"POTASSIUM, METAL ALLOYS"	9/7/7440	K		Get Report 
"RHODIUM, SOLUBLE COMPOUNDS, as Rh"	7440-16-6	Rh	Synonyms vary depending upon the specific soluble rhodium compound.	Get Report 
"RHODIUM METAL AND INSOLUBLE COMPOUNDS, as Rh"	7440-16-6	Rh	Rhodium metal: Elemental rhodium. Synonyms of other insoluble rhodium compounds vary depending upon the specific compound.	Get Report 
SILICON	7440-21-3	Si	Elemental silicon	Get Report 
"SILVER, SOLUBLE COMPOUNDS, as Ag"	7440-22-4	Sg	Synonyms of soluble silver compounds such as Silver nitrate (AgNO3) vary depending upon the specific compound.	Get Report 
"SILVER METAL DUST, as Ag"	7440-22-4	Ag	Silver metal: Argentum	Get Report 
"TANTALUM METAL AND OXIDE DUST, as Ta"	7440-25-7	Ta	Tantalum metal: Tantalum-181 Synonyms of other tantalum dusts (including oxide dusts) vary depending upon the specific compound.	Get Report 
"THALLIUM, SOLUBLE COMPOUNDS, as Tl"	7440-28-0	Tl	Synonyms vary depending upon the specific soluble thallium compound.	Get Report 
"TIN METAL AND INORGANIC COMPOUNDS, EXCEPT SnH4 AND OXIDES, as Sn"	7440-31-5	Sn	Metallic tin; Tin flake; Tin metal; Tin powder	Get Report 
"TIN, ORGANIC COMPOUNDS as Sn"	7440-31-5	Sn	Synonyms vary depending upon the specific organic tin compound. [Note: Also see specific listing for Cyhexatin.]	Get Report 
"TUNGSTEN METAL AND INSOLUBLE COMPOUNDS, as W"	7440-33-7	W	Tungsten metal; Wolfram	Get Report 
"TUNGSTEN, SOLUBLE COMPOUNDS, as W"	7440-33-7	W	Synonyms vary depending upon the specific soluble tungsten compound.	Get Report 
"ANTIMONY METAL AND COMPOUNDS, as Sb"	7440-36-0	Sb	Antimony metal; Antimony powder; Stibium	Get Report 
ARGON	7440-37-1	Ar		Get Report 
"ARSENIC, ORGANIC COMPOUNDS as As"	7440-38-2	As	Synonyms vary depending upon the specific organic arsenic compound.	Get Report 
"ARSENIC METAL AND INORGANIC COMPOUNDS, as As"	7440-38-2	As	Arsenic metal: Arsenia Other synonyms vary depending upon the specific As compound.	Get Report 
"BARIUM, SOLUBLE COMPOUNDS EXCEPT BARIUM SULFATE, as Ba"	7440-39-3	Ba		Get Report 
"BERYLLIUM METAL AND COMPOUNDS, as Be"	7440-41-7	Be	Beryllium metal: Beryllium Other synonyms vary depending upon the specific beryllium compound.	Get Report 
"CADMIUM METAL AND COMPOUNDS, as Cd"	7440-43-9	Cd	Cadmium metal: Cadmium. Other synonyms vary depending upon the specific cadmium compound	Get Report 
GRAPHITE (SYNTHETIC)	7440-44-0	C	Activated carbon [Note: Also see specific listing for Graphite (natural).]	Get Report 
"CHROMIUM(VI) COMPOUNDS, as Cr, WATER INSOLUBLE"	7440-47-3	Cr	"Synonyms of chromates (i.e., chromium(VI) compounds) such as zinc chromate vary depending upon the specific compound."	Get Report 
"CHROMIUM(III) COMPOUNDS, as Cr"	7440-47-3	Cr	Synonyms vary depending upon the specific Chromium(III) compound. [Note: Chromium(III) compounds include soluble chromic salts.]	Get Report 
CHROMIUM METAL	7440-47-3	Cr	Chrome; Chromium	Get Report 
"CHROMIUM(II) COMPOUNDS, as Cr"	7440-47-3	Cr	Synonyms vary depending upon the specific Chromium(II) compound. [Note: Chromium(II) compounds include soluble chromous salts.]	Get Report 
"CHROMIUM(VI) COMPOUNDS, as Cr, WATER SOLUBLE"	7440-47-3	Cr	"Synonyms of chromates (i.e., chromium(VI) compounds) such as zinc chromate vary depending upon the specific compound."	Get Report 
COBALT METAL AND INORGANIC COMPOUNDS as Co	7440-48-4	Co	Cobalt metal dust; Cobalt metal fume	Get Report 
"COPPER, FUME, as Cu"	7440-50-8	Cu	Copper metal dusts; Copper metal fumes	Get Report 
"COPPER, DUSTS AND MISTS, as Cu"	7440-50-8	Cu	Copper metal dusts; Copper metal fumes	Get Report 
HAFNIUM AND COMPOUNDS	7440-58-6	Hf	Celtium; Elemental hafnium; Hafnium metal	Get Report 
HELIUM	7440-59-7	He		Get Report 
"URANIUM, SOLUBLE COMPOUNDS, as U"	7440-61-1	U	Synonyms vary depending upon the specific soluble uranium compound.	Get Report 
