Chemical Name	CAS #	Formula	Synonyms	Get Report
"TUNGSTEN CARBIDE (CONTAINING >2% Co), as Co"	12070-12-1	CW/Co/Ni/Ti	Cemented tungsten carbide; Cemented WC; Hard metal [Note: The tungsten carbide (WC) content is generally 85-95% & the cobalt	Get Report 
MANGANESE CYCLOPENTADIENYLTRICARBONYL	12079-65-1	C5H5Mn(CO)3	Cyclopentadienylmanganese tricarbonyl; Cyclopentadienyl tricarbonyl manganese; MCT	Get Report 
"2,4 DINITROTOLUENE"	121-14-2	C7H6N2O4	Dinitrotoluol; DNT; Methyldinitrobenzene [Note: Various isomers of DNT exist]	Get Report 
TRIETHYLAMINE	121-44-8	C6H15N	TEA	Get Report 
TRIMETHYL PHOSPHITE	121-45-9	C3H9O3P	Methyl phosphite; Trimethoxyphosphine; Trimethyl ester of phosphorous acid	Get Report 
"N,N-DIMETHYLANILINE"	121-69-7	C8H11N	"N,N-Dimethylbenzeneamine; N,N-Dimethylphenylamine [Note: Also known as Dimethylaniline which is a correct synonym for Xylidine.]"	Get Report 
MALATHION	121-75-5	C10H19O6PS2	"S-[1,2-bis(ethoxycarbonyl) ethyl]O,O-dimethyl-phosphorodithioate; Diethyl (dimethoxyphosphinothioylthio) succinate"	Get Report 
"CYCLOTRIMETHYLENE TRINITRAMINE, [DESENSITIZED]"	121-82-4	C3H6N6O6	"Cyclonite; Cyclotrimethylenetrinitramine; Hexahydro-1,3,5-trinitro-s-triazine; RDX; Trimethylenetrinitramine; 1,3,5-Trinitro-1,3,5-triazacyclohexane"	Get Report 
METHYLCYCLOPENTADIENYL MANGANESE TRICARBONYL	12108-13-3	C9H7MnO3	CI-2; Combustion Improver-2; Manganese tricarbonylmethylcyclopentadienyl; 2-Methylcyclopentadienyl manganese tricarbonyl; MMT	Get Report 
AMMONIUM CHLORIDE	12125-02-9	ClH4N	Ammonium chloride; Ammonium muriate fume; Sal ammoniac fume	Get Report 
ASBESTOS - AMOSITE	12172-73-5	Hydrated mineral silicates		Get Report 
"BORATES, TETRA, SODIUM SALTS, PENTAHYDRATE"	12179-04-3	Na2B4O7 . 5H2O	Borax pentahydrate; Sodium borate pentahydrate; Sodium tetraborate pentahydrate	Get Report 
DIPHENYLAMINE	122-39-4	C12H11N	Anilinobenzene; DPA; Phenylaniline; N-Phenylaniline; N-Phenylbenzenamine	Get Report 
PHENYL GLYCIDYL ETHER	122-60-1	C9H10O2	"1,2-Epoxy-3-phenoxy propane; Glycidyl phenyl ether; PGE; Phenyl 2,3-epoxypropyl ether"	Get Report 
DIPROPYL KETONE	123-19-3	C7H14O	Butyrone; DPK; 4-Heptanone; Heptan-4-one; Propyl ketone	Get Report 
